0	8030
轄	083A
轢	083B
辛	083C
辞	083D
辣	083E
辱	083F
農	0840
辺	0841
込	0842
辿	0843
迂	0844
迅	0845
迎	0846
近	0847
返	0848
迫	0849
述	084A
迷	084B
追	084C
退	084D
送	084E
逃	084F
逆	0850
透	0851
途	0852
這	0853
通	0854
逝	0855
逞	0856
速	0857
造	0858
連	0859
逮	085A
週	085B
進	085C
逸	085D
遂	085E
遅	085F
遇	0860
遊	0861
運	0862
過	0863
道	0864
達	0865
違	0866
遙	0867
遠	0868
遣	0869
適	086A
遭	086B
遮	086C
遵	086D
選	086E
遺	086F
避	0870
還	0871
那	0872
邦	0873
邪	0874
邸	0875
郊	0876
郎	0877
部	0878
郵	0879
郷	087A
都	087B
鄙	087C
酌	087D
配	087E
酒	087F
酔	0880
酬	0881
酷	0882
酸	0883
醍	0884
醐	0885
醒	0886
醜	0887
醸	0888
釈	0889
重	088A
野	088B
量	088C
金	088D
釘	088E
釜	088F
針	0890
釣	0891
鈍	0892
鉄	0893
鉛	0894
鉱	0895
銀	0896
銃	0897
銅	0898
銘	0899
銭	089A
鋒	089B
鋭	089C
鋸	089D
鋼	089E
錆	089F
錠	08A0
錬	08A1
錯	08A2
録	08A3
鍋	08A4
鍛	08A5
鍵	08A6
鎖	08A7
鎧	08A8
鎮	08A9
鏡	08AA
鐘	08AB
鑑	08AC
長	08AD
門	08AE
閉	08AF
開	08B0
間	08B1
関	08B2
閥	08B3
閲	08B4
闇	08B5
闘	08B6
防	08B7
阻	08B8
阿	08B9
陀	08BA
降	08BB
限	08BC
院	08BD
陣	08BE
除	08BF
陥	08C0
陪	08C1
陰	08C2
陳	08C3
陶	08C4
陸	08C5
険	08C6
陽	08C7
隅	08C8
隈	08C9
隊	08CA
階	08CB
随	08CC
隔	08CD
隙	08CE
際	08CF
障	08D0
隠	08D1
隣	08D2
隷	08D3
雀	08D4
雄	08D5
雅	08D6
集	08D7
雇	08D8
雑	08D9
離	08DA
難	08DB
雨	08DC
雪	08DD
雰	08DE
雲	08DF
雷	08E0
電	08E1
需	08E2
震	08E3
霊	08E4
霞	08E5
霧	08E6
露	08E7
霹	08E8
靂	08E9
青	08EA
静	08EB
非	08EC
面	08ED
革	08EE
靴	08EF
鞄	08F0
鞍	08F1
鞭	08F2
韓	08F3
音	08F4
韻	08F5
響	08F6
頂	08F7
頃	08F8
項	08F9
順	08FA
須	08FB
預	08FC
頑	08FD
頓	08FE
領	08FF
頬	0900
頭	0901
頷	0902
頻	0903
頼	0904
題	0905
額	0906
顎	0907
顔	0908
願	0909
類	090A
顧	090B
風	090C
飛	090D
食	090E
飢	090F
飯	0910
飲	0911
飼	0912
飽	0913
飾	0914
餃	0915
養	0916
餐	0917
餓	0918
館	0919
首	091A
香	091B
馬	091C
馳	091D
馴	091E
駄	091F
駅	0920
駆	0921
駐	0922
騎	0923
騒	0924
験	0925
騙	0926
騰	0927
驕	0928
驚	0929
骨	092A
骸	092B
髄	092C
高	092D
髪	092E
欝	092F
鬼	0930
魂	0931
魅	0932
魔	0933
魚	0934
鮫	0935
鮮	0936
鯨	0937
鳥	0938
鳩	0939
鳴	093A
